dair	dair(POSTP.invar)
karşımızdalarsa	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.cond.3p.pl
karşımızdan	karşı(POSTP),num.sg,poss.1p.pl,case.abl
karşımızdasın	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.pres.2p.sg
karşımızdasınız	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.pres.2p.pl
karşımızdaydı	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.perf.3p.sg
karşımızdaydık	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.perf.1p.pl
karşımızdaydılar	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.perf.3p.pl
karşımızdaydım	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.perf.1p.sg
karşımızdaydın	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.perf.2p.sg
karşımızdaydınız	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.perf.2p.pl
karşımızdayken	karşı(POSTP),num.sg,poss.1p.pl,case.loc,converb
karşımızdaymış	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.evid.3p.sg
karşımızdaymışlar	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.evid.3p.pl
karşımızdaymışsın	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.evid.2p.sg
karşımızdaymışsınız	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.evid.2p.pl
karşımızdaymışım	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.evid.1p.sg
karşımızdaymışız	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.evid.1p.pl
karşımızdaysa	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.cond.3p.sg
karşımızdaysak	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.cond.1p.pl
karşımızdaysalar	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.cond.3p.pl
karşımızdaysam	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.cond.1p.sg
karşımızdaysan	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.cond.2p.sg
karşımızdaysanız	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.cond.2p.pl
karşımızdayım	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.pres.1p.sg
karşımızdayız	karşı(POSTP),num.sg,poss.1p.pl,case.loc,predic.pres.1p.pl
karşımızdı	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.perf.3p.sg
karşımızdık	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.perf.1p.pl
karşımızdılar	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.perf.3p.pl
karşımızdım	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.perf.1p.sg
karşımızdın	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.perf.2p.sg
karşımızdınız	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.perf.2p.pl
karşımızdır	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.pres.3p.sg
karşımızdırlar	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.pres.3p.pl
karşımızken	karşı(POSTP),num.sg,poss.1p.pl,case.nom,converb
karşımızla	karşı(POSTP),num.sg,poss.1p.pl,case.instr
karşımızlardı	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.perf.3p.pl
karşımızlardır	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.pres.3p.pl
karşımızlarmış	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.evid.3p.pl
karşımızlarsa	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.cond.3p.pl
karşımızmış	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.evid.3p.sg
karşımızmışlar	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.evid.3p.pl
karşımızmışsın	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.evid.2p.sg
karşımızmışsınız	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.evid.2p.pl
karşımızmışım	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.evid.1p.sg
karşımızmışız	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.evid.1p.pl
karşımızsa	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.cond.3p.sg
karşımızsak	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.cond.1p.pl
karşımızsalar	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.cond.3p.pl
karşımızsam	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.cond.1p.sg
karşımızsan	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.cond.2p.sg
karşımızsanız	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.cond.2p.pl
karşımızsın	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.pres.2p.sg
karşımızsınız	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.pres.2p.pl
karşımızı	karşı(POSTP),num.sg,poss.1p.pl,case.acc
karşımızım	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.pres.1p.sg
karşımızın	karşı(POSTP),num.sg,poss.1p.pl,case.gen
karşımızız	karşı(POSTP),num.sg,poss.1p.pl,case.nom,predic.pres.1p.pl
karşın	karşı(POSTP),num.sg,poss.2p.sg,case.nom
karşına	karşı(POSTP),num.sg,poss.2p.sg,case.dat
karşında	karşı(POSTP),num.sg,poss.2p.sg,case.loc
karşındadır	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.pres.3p.sg
karşındadırlar	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.pres.3p.pl
karşındalardı	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.perf.3p.pl
karşındalardır	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.pres.3p.pl
karşındalarmış	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.evid.3p.pl
karşındalarsa	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.cond.3p.pl
karşından	karşı(POSTP),num.sg,poss.2p.sg,case.abl
karşındasın	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.pres.2p.sg
karşındasınız	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.pres.2p.pl
karşındaydı	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.perf.3p.sg
karşındaydık	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.perf.1p.pl
karşındaydılar	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.perf.3p.pl
karşındaydım	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.perf.1p.sg
karşındaydın	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.perf.2p.sg
karşındaydınız	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.perf.2p.pl
karşındayken	karşı(POSTP),num.sg,poss.2p.sg,case.loc,converb
karşındaymış	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.evid.3p.sg
karşındaymışlar	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.evid.3p.pl
karşındaymışsın	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.evid.2p.sg
karşındaymışsınız	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.evid.2p.pl
karşındaymışım	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.evid.1p.sg
karşındaymışız	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.evid.1p.pl
karşındaysa	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.cond.3p.sg
karşındaysak	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.cond.1p.pl
karşındaysalar	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.cond.3p.pl
karşındaysam	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.cond.1p.sg
karşındaysan	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.cond.2p.sg
karşındaysanız	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.cond.2p.pl
karşındayım	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.pres.1p.sg
karşındayız	karşı(POSTP),num.sg,poss.2p.sg,case.loc,predic.pres.1p.pl
karşındı	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.perf.3p.sg
karşındık	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.perf.1p.pl
karşındılar	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.perf.3p.pl
karşındım	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.perf.1p.sg
karşındın	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.perf.2p.sg
karşındınız	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.perf.2p.pl
karşındır	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.pres.3p.sg
karşındırlar	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.pres.3p.pl
karşınken	karşı(POSTP),num.sg,poss.2p.sg,case.nom,converb
karşınla	karşı(POSTP),num.sg,poss.2p.sg,case.instr
karşınlardı	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.perf.3p.pl
karşınlardır	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.pres.3p.pl
karşınlarmış	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.evid.3p.pl
karşınlarsa	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.cond.3p.pl
karşınmış	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.evid.3p.sg
karşınmışlar	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.evid.3p.pl
karşınmışsın	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.evid.2p.sg
karşınmışsınız	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.evid.2p.pl
karşınmışım	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.evid.1p.sg
karşınmışız	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.evid.1p.pl
karşınsa	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.cond.3p.sg
karşınsak	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.cond.1p.pl
karşınsalar	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.cond.3p.pl
karşınsam	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.cond.1p.sg
karşınsan	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.cond.2p.sg
karşınsanız	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.cond.2p.pl
karşınsın	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.pres.2p.sg
karşınsınız	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.pres.2p.pl
karşını	karşı(POSTP),num.sg,poss.2p.sg,case.acc
karşınım	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.pres.1p.sg
karşının	karşı(POSTP),num.sg,case.gen
karşının	karşı(POSTP),num.sg,poss.2p.sg,case.gen
karşınız	karşı(POSTP),num.sg,poss.2p.pl,case.nom
karşınız	karşı(POSTP),num.sg,poss.2p.sg,case.nom,predic.pres.1p.pl
karşınıza	karşı(POSTP),num.sg,poss.2p.pl,case.dat
karşınızda	karşı(POSTP),num.sg,poss.2p.pl,case.loc
karşınızdadır	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.pres.3p.sg
karşınızdadırlar	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.pres.3p.pl
karşınızdalardı	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.perf.3p.pl
karşınızdalardır	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.pres.3p.pl
karşınızdalarmış	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.evid.3p.pl
karşınızdalarsa	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.cond.3p.pl
karşınızdan	karşı(POSTP),num.sg,poss.2p.pl,case.abl
karşınızdasın	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.pres.2p.sg
karşınızdasınız	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.pres.2p.pl
karşınızdaydı	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.perf.3p.sg
karşınızdaydık	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.perf.1p.pl
karşınızdaydılar	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.perf.3p.pl
karşınızdaydım	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.perf.1p.sg
karşınızdaydın	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.perf.2p.sg
karşınızdaydınız	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.perf.2p.pl
karşınızdayken	karşı(POSTP),num.sg,poss.2p.pl,case.loc,converb
karşınızdaymış	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.evid.3p.sg
karşınızdaymışlar	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.evid.3p.pl
karşınızdaymışsın	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.evid.2p.sg
karşınızdaymışsınız	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.evid.2p.pl
karşınızdaymışım	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.evid.1p.sg
karşınızdaymışız	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.evid.1p.pl
karşınızdaysa	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.cond.3p.sg
karşınızdaysak	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.cond.1p.pl
karşınızdaysalar	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.cond.3p.pl
karşınızdaysam	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.cond.1p.sg
karşınızdaysan	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.cond.2p.sg
karşınızdaysanız	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.cond.2p.pl
karşınızdayım	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.pres.1p.sg
karşınızdayız	karşı(POSTP),num.sg,poss.2p.pl,case.loc,predic.pres.1p.pl
karşınızdı	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.perf.3p.sg
karşınızdık	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.perf.1p.pl
karşınızdılar	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.perf.3p.pl
karşınızdım	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.perf.1p.sg
karşınızdın	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.perf.2p.sg
karşınızdınız	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.perf.2p.pl
karşınızdır	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.pres.3p.sg
karşınızdırlar	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.pres.3p.pl
karşınızken	karşı(POSTP),num.sg,poss.2p.pl,case.nom,converb
karşınızla	karşı(POSTP),num.sg,poss.2p.pl,case.instr
karşınızlardı	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.perf.3p.pl
karşınızlardır	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.pres.3p.pl
karşınızlarmış	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.evid.3p.pl
karşınızlarsa	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.cond.3p.pl
karşınızmış	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.evid.3p.sg
karşınızmışlar	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.evid.3p.pl
karşınızmışsın	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.evid.2p.sg
karşınızmışsınız	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.evid.2p.pl
karşınızmışım	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.evid.1p.sg
karşınızmışız	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.evid.1p.pl
karşınızsa	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.cond.3p.sg
karşınızsak	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.cond.1p.pl
karşınızsalar	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.cond.3p.pl
karşınızsam	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.cond.1p.sg
karşınızsan	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.cond.2p.sg
karşınızsanız	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.cond.2p.pl
karşınızsın	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.pres.2p.sg
karşınızsınız	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.pres.2p.pl
karşınızı	karşı(POSTP),num.sg,poss.2p.pl,case.acc
karşınızım	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.pres.1p.sg
karşınızın	karşı(POSTP),num.sg,poss.2p.pl,case.gen
karşınızız	karşı(POSTP),num.sg,poss.2p.pl,case.nom,predic.pres.1p.pl
karşısı	karşı(POSTP),num.sg,poss.3p.sg,case.nom
karşısıdır	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.pres.3p.sg
karşısıdırlar	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.pres.3p.pl
karşısılardı	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.perf.3p.pl
karşısılardır	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.pres.3p.pl
karşısılarmış	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.evid.3p.pl
karşısılarsa	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.cond.3p.pl
karşısın	karşı(POSTP),num.sg,case.nom,predic.pres.2p.sg
karşısına	karşı(POSTP),num.sg,poss.3p.sg,case.dat
karşısında	karşı(POSTP),num.sg,poss.3p.sg,case.loc
karşısındadır	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.pres.3p.sg
karşısındadırlar	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.pres.3p.pl
karşısındalardı	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.perf.3p.pl
karşısındalardır	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.pres.3p.pl
karşısındalarmış	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.evid.3p.pl
karşısındalarsa	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.cond.3p.pl
karşısından	karşı(POSTP),num.sg,poss.3p.sg,case.abl
karşısındasın	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.pres.2p.sg
karşısındasınız	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.pres.2p.pl
karşısındaydı	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.perf.3p.sg
karşısındaydık	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.perf.1p.pl
karşısındaydılar	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.perf.3p.pl
karşısındaydım	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.perf.1p.sg
karşısındaydın	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.perf.2p.sg
karşısındaydınız	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.perf.2p.pl
karşısındayken	karşı(POSTP),num.sg,poss.3p.sg,case.loc,converb
karşısındaymış	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.evid.3p.sg
karşısındaymışlar	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.evid.3p.pl
karşısındaymışsın	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.evid.2p.sg
karşısındaymışsınız	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.evid.2p.pl
karşısındaymışım	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.evid.1p.sg
karşısındaymışız	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.evid.1p.pl
karşısındaysa	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.cond.3p.sg
karşısındaysak	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.cond.1p.pl
karşısındaysalar	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.cond.3p.pl
karşısındaysam	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.cond.1p.sg
karşısındaysan	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.cond.2p.sg
karşısındaysanız	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.cond.2p.pl
karşısındayım	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.pres.1p.sg
karşısındayız	karşı(POSTP),num.sg,poss.3p.sg,case.loc,predic.pres.1p.pl
karşısını	karşı(POSTP),num.sg,poss.3p.sg,case.acc
karşısının	karşı(POSTP),num.sg,poss.3p.sg,case.gen
karşısınız	karşı(POSTP),num.sg,case.nom,predic.pres.2p.pl
karşısısın	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.pres.2p.sg
karşısısınız	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.pres.2p.pl
karşısıydı	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.perf.3p.sg
karşısıydık	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.perf.1p.pl
karşısıydılar	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.perf.3p.pl
karşısıydım	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.perf.1p.sg
karşısıydın	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.perf.2p.sg
karşısıydınız	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.perf.2p.pl
karşısıyken	karşı(POSTP),num.sg,poss.3p.sg,case.nom,converb
karşısıyla	karşı(POSTP),num.sg,poss.3p.sg,case.instr
karşısıymış	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.evid.3p.sg
karşısıymışlar	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.evid.3p.pl
karşısıymışsın	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.evid.2p.sg
karşısıymışsınız	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.evid.2p.pl
karşısıymışım	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.evid.1p.sg
karşısıymışız	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.evid.1p.pl
karşısıysa	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.cond.3p.sg
karşısıysak	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.cond.1p.pl
karşısıysalar	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.cond.3p.pl
karşısıysam	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.cond.1p.sg
karşısıysan	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.cond.2p.sg
karşısıysanız	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.cond.2p.pl
karşısıyım	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.pres.1p.sg
karşısıyız	karşı(POSTP),num.sg,poss.3p.sg,case.nom,predic.pres.1p.pl
karşıya	karşı(POSTP),num.sg,case.dat
karşıydı	karşı(POSTP),num.sg,case.nom,predic.perf.3p.sg
karşıydık	karşı(POSTP),num.sg,case.nom,predic.perf.1p.pl
karşıydılar	karşı(POSTP),num.sg,case.nom,predic.perf.3p.pl
karşıydım	karşı(POSTP),num.sg,case.nom,predic.perf.1p.sg
karşıydın	karşı(POSTP),num.sg,case.nom,predic.perf.2p.sg
karşıydınız	karşı(POSTP),num.sg,case.nom,predic.perf.2p.pl
karşıyken	karşı(POSTP),num.sg,case.nom,converb
karşıyla	karşı(POSTP),num.sg,case.instr
karşıymış	karşı(POSTP),num.sg,case.nom,predic.evid.3p.sg
karşıymışlar	karşı(POSTP),num.sg,case.nom,predic.evid.3p.pl
karşıymışsın	karşı(POSTP),num.sg,case.nom,predic.evid.2p.sg
karşıymışsınız	karşı(POSTP),num.sg,case.nom,predic.evid.2p.pl
karşıymışım	karşı(POSTP),num.sg,case.nom,predic.evid.1p.sg
karşıymışız	karşı(POSTP),num.sg,case.nom,predic.evid.1p.pl
karşıysa	karşı(POSTP),num.sg,case.nom,predic.cond.3p.sg
karşıysak	karşı(POSTP),num.sg,case.nom,predic.cond.1p.pl
karşıysalar	karşı(POSTP),num.sg,case.nom,predic.cond.3p.pl
karşıysam	karşı(POSTP),num.sg,case.nom,predic.cond.1p.sg
karşıysan	karşı(POSTP),num.sg,case.nom,predic.cond.2p.sg
karşıysanız	karşı(POSTP),num.sg,case.nom,predic.cond.2p.pl
karşıyı	karşı(POSTP),num.sg,case.acc
karşıyım	karşı(POSTP),num.sg,case.nom,predic.pres.1p.sg
karşıyız	karşı(POSTP),num.sg,case.nom,predic.pres.1p.pl
kadar	kadar(POSTP),num.sg,case.nom
kadara	kadar(POSTP),num.sg,case.dat
kadarda	kadar(POSTP),num.sg,case.loc
kadardadır	kadar(POSTP),num.sg,case.loc,predic.pres.3p.sg
kadardadırlar	kadar(POSTP),num.sg,case.loc,predic.pres.3p.pl
kadardalardı	kadar(POSTP),num.sg,case.loc,predic.perf.3p.pl
kadardalardır	kadar(POSTP),num.sg,case.loc,predic.pres.3p.pl
kadardalarmış	kadar(POSTP),num.sg,case.loc,predic.evid.3p.pl
kadardalarsa	kadar(POSTP),num.sg,case.loc,predic.cond.3p.pl
kadardan	kadar(POSTP),num.sg,case.abl
kadardasın	kadar(POSTP),num.sg,case.loc,predic.pres.2p.sg
kadardasınız	kadar(POSTP),num.sg,case.loc,predic.pres.2p.pl
kadardaydı	kadar(POSTP),num.sg,case.loc,predic.perf.3p.sg
kadardaydık	kadar(POSTP),num.sg,case.loc,predic.perf.1p.pl
kadardaydılar	kadar(POSTP),num.sg,case.loc,predic.perf.3p.pl
kadardaydım	kadar(POSTP),num.sg,case.loc,predic.perf.1p.sg
kadardaydın	kadar(POSTP),num.sg,case.loc,predic.perf.2p.sg
kadardaydınız	kadar(POSTP),num.sg,case.loc,predic.perf.2p.pl
kadardayken	kadar(POSTP),num.sg,case.loc,converb
kadardaymış	kadar(POSTP),num.sg,case.loc,predic.evid.3p.sg
kadardaymışlar	kadar(POSTP),num.sg,case.loc,predic.evid.3p.pl
kadardaymışsın	kadar(POSTP),num.sg,case.loc,predic.evid.2p.sg
kadardaymışsınız	kadar(POSTP),num.sg,case.loc,predic.evid.2p.pl
kadardaymışım	kadar(POSTP),num.sg,case.loc,predic.evid.1p.sg
kadardaymışız	kadar(POSTP),num.sg,case.loc,predic.evid.1p.pl
kadardaysa	kadar(POSTP),num.sg,case.loc,predic.cond.3p.sg
kadardaysak	kadar(POSTP),num.sg,case.loc,predic.cond.1p.pl
kadardaysalar	kadar(POSTP),num.sg,case.loc,predic.cond.3p.pl
kadardaysam	kadar(POSTP),num.sg,case.loc,predic.cond.1p.sg
kadardaysan	kadar(POSTP),num.sg,case.loc,predic.cond.2p.sg
kadardaysanız	kadar(POSTP),num.sg,case.loc,predic.cond.2p.pl
kadardayım	kadar(POSTP),num.sg,case.loc,predic.pres.1p.sg
kadardayız	kadar(POSTP),num.sg,case.loc,predic.pres.1p.pl
kadardı	kadar(POSTP),num.sg,case.nom,predic.perf.3p.sg
kadardık	kadar(POSTP),num.sg,case.nom,predic.perf.1p.pl
kadardılar	kadar(POSTP),num.sg,case.nom,predic.perf.3p.pl
kadardım	kadar(POSTP),num.sg,case.nom,predic.perf.1p.sg
kadardın	kadar(POSTP),num.sg,case.nom,predic.perf.2p.sg
