dair	dair(POSTP.invar)
rağmenmişsiniz	rağmen(POSTP),predic.evid.2p.pl
rağmenken	rağmen(POSTP),case.nom,converb
rağmense	rağmen(POSTP),predic.cond.3p.sg
rağmensek	rağmen(POSTP),predic.cond.1p.pl
rağmenseler	rağmen(POSTP),predic.cond.3p.pl
rağmensem	rağmen(POSTP),predic.cond.1p.sg
rağmensen	rağmen(POSTP),predic.cond.2p.sg
rağmenseniz	rağmen(POSTP),predic.cond.2p.pl
rağmensin	rağmen(POSTP),predic.pres.2p.sg
rağmensiniz	rağmen(POSTP),predic.pres.2p.pl
üzere	üzerePOSTP
üzeredir	üzere(POSTP),predic.pres.3p.sg
üzeredirler	üzere(POSTP),predic.pres.3p.pl
üzerelerdi	üzere(POSTP),predic.perf.3p.pl
üzerelerdir	üzere(POSTP),predic.pres.3p.pl
üzerelermiş	üzere(POSTP),predic.evid.3p.pl
üzerelerse	üzere(POSTP),predic.cond.3p.pl
üzeresin	üzere(POSTP),predic.pres.2p.sg
üzeresiniz	üzere(POSTP),predic.pres.2p.pl
üzereydi	üzere(POSTP),predic.perf.3p.sg
üzereydik	üzere(POSTP),predic.perf.1p.pl
üzereydiler	üzere(POSTP),predic.perf.3p.pl
üzereydim	üzere(POSTP),predic.perf.1p.sg
üzereydin	üzere(POSTP),predic.perf.2p.sg
üzereydiniz	üzere(POSTP),predic.perf.2p.pl
üzereyim	üzere(POSTP),predic.pres.1p.sg
üzereyiz	üzere(POSTP),predic.pres.1p.pl
üzereymiş	üzere(POSTP),predic.evid.3p.sg
üzereymişim	üzere(POSTP),predic.evid.1p.sg
üzereymişiz	üzere(POSTP),predic.evid.1p.pl
üzereymişler	üzere(POSTP),predic.evid.3p.pl
üzereymişsin	üzere(POSTP),predic.evid.2p.sg
üzereymişsiniz	üzere(POSTP),predic.evid.2p.pl
üzereyken	üzere(POSTP),case.nom,converb
üzereyse	üzere(POSTP),predic.cond.3p.sg
üzereysek	üzere(POSTP),predic.cond.1p.pl
üzereyseler	üzere(POSTP),predic.cond.3p.pl
üzereysem	üzere(POSTP),predic.cond.1p.sg
üzereysen	üzere(POSTP),predic.cond.2p.sg
üzereyseniz	üzere(POSTP),predic.cond.2p.pl
üzre	üzrePOSTP
