ben
[bana] PRON.personal.1p.sg,case.dat
[kim]iniz PRON.inter,num.sg,case.gen,perf.ind.pres.1per.pl
[kim]iniz PRON.inter,num.sg,poss.2p.pl
[kim]insiniz PRON.inter,num.sg,case.gen,perf.ind.pres.2per.pl
[kim]inler PRON.inter,num.sg,case.gen,perf.ind.pres.3per.pl
[kim]inmişim PRON.inter,num.sg,case.gen,perf.nfh.ind.past.1per.sg
[kim]inmişsin PRON.inter,num.sg,case.gen,perf.nfh.ind.past.2per.sg
[kim]inmiş PRON.inter,num.sg,case.gen,perf.nfh.ind.past.3per.sg
[kim]inmişiz PRON.inter,num.sg,case.gen,perf.nfh.ind.past.1per.pl
[kim]inmişsiniz PRON.inter,num.sg,case.gen,perf.nfh.ind.past.2per.pl
[kim]inmişler PRON.inter,num.sg,case.gen,perf.nfh.ind.past.3per.pl
[kim]inlermiş PRON.inter,num.sg,case.gen,perf.nfh.ind.past.3per.pl
[kim]insem PRON.inter,num.sg,case.gen,perf.cnd.pres.1per.sg
[kim]insen PRON.inter,num.sg,case.gen,perf.cnd.pres.2per.sg
[kim]inse PRON.inter,num.sg,case.gen,perf.cnd.pres.3per.sg
[kim]insek PRON.inter,num.sg,case.gen,perf.cnd.pres.1per.pl
[kim]inseniz PRON.inter,num.sg,case.gen,perf.cnd.pres.2per.pl
[kim]inseler PRON.inter,num.sg,case.gen,perf.cnd.pres.3per.pl
[kim]inlerse PRON.inter,num.sg,case.gen,perf.cnd.pres.3per.pl
[kim]insin PRON.inter,num.sg,case.gen,perf.ind.pres.2per.sg
[kim]insiniz PRON.inter,num.sg,case.gen,perf.ind.pres.2per.pl
[kim]indi PRON.inter,poss.2p.sg,perf.ind.past.3per.sg
[kim]indir PRON.inter,poss.2p.sg,perf.gen.pres.3per.sg
[kim]indirler PRON.inter,poss.2p.sg,perf.gen.pres.3per.pl
[kim]inim PRON.inter,poss.2p.sg,perf.ind.pres.1per.sg
[kim]iniz PRON.inter,poss.2p.sg,perf.ind.pres.1per.pl
[kim]iniz PRON.inter,num.sg,poss.2p.pl
[kim]inlerdir PRON.inter,poss.2p.sg,perf.gen.pres.3per.pl
[kim]inmiş PRON.inter,poss.2p.sg,perf.nfh.ind.past.3per.sg
[kim]isin PRON.inter,num.sg,case.acc,perf.ind.pres.2per.sg
[kim]isiniz PRON.inter,num.sg,case.acc,perf.ind.pres.2per.pl
[kim]iydi PRON.inter,num.sg,case.acc,perf.ind.past.3per.sg
[kim]iyim PRON.inter,num.sg,case.acc,perf.ind.pres.1per.sg
[kim]iyiz PRON.inter,num.sg,case.acc,perf.ind.pres.1per.pl
[kim]iymiş PRON.inter,num.sg,case.acc,perf.nfh.ind.past.3per.sg
[kim]iyse PRON.inter,num.sg,case.acc,perf.cnd.pres.3per.sg
[kim]isin PRON.inter,poss.3p.sg,perf.ind.pres.2per.sg
[kim]isiniz PRON.inter,poss.3p.sg,perf.ind.pres.2per.pl
[kim]iydi PRON.inter,poss.3p.sg,perf.ind.past.3per.sg
[kim]iyim PRON.inter,poss.3p.sg,perf.ind.pres.1per.sg
[kim]iyiz PRON.inter,poss.3p.sg,perf.ind.pres.1per.pl
[kim]iymiş PRON.inter,poss.3p.sg,perf.nfh.ind.past.3per.sg
[kim]iyse PRON.inter,poss.3p.sg,perf.cnd.pres.3per.sg
[kim]isin PRON.inter,poss.3p.pl,perf.ind.pres.2per.sg
[kim]isiniz PRON.inter,poss.pl.sg,perf.ind.pres.2per.pl
[kim]iydi PRON.inter,poss.3p.pl,perf.ind.past.3per.sg
[kim]iyim PRON.inter,poss.3p.pl,perf.ind.pres.1per.sg
[kim]iyiz PRON.inter,poss.3p.pl,perf.ind.pres.1per.pl
[kim]iymiş PRON.inter,poss.3p.pl,perf.nfh.ind.past.3per.sg
[kim]iyse PRON.inter,poss.3p.pl,perf.cnd.pres.3per.sg
[kim]iz PRON.inter,num.sg,case.nom,perf.ind.pres.1per.pl
[kim]miş PRON.inter,num.sg,case.nom,perf.nfh.ind.past.3per.sg
[kim]se PRON.inter,num.sg,case.nom,perf.cnd.pres.3per.sg
[kim]sin PRON.inter,num.sg,case.nom,perf.ind.pres.2per.sg
[kim]siniz PRON.inter,num.sg,case.nom,perf.ind.pres.2per.pl
[kim]le PRON.inter,num.sg,case.instr
[kim]ledir PRON.inter,num.sg,case.instr,perf.gen.pres.3per.sg
[kim]ledirler PRON.inter,num.sg,case.instr,perf.gen.pres.3per.pl
[kim]lelerdir PRON.inter,num.sg,case.instr,perf.gen.pres.3per.pl
[kim]ler PRON.inter,num.pl,case.nom
[kim]lerde PRON.inter,num.pl,case.loc
[kim]lerdedir PRON.inter,num.pl,case.loc,perf.gen.pres.3per.sg
[kim]lerdedirler PRON.inter,num.pl,case.loc,perf.gen.pres.3per.pl
[kim]lerdelerdir PRON.inter,num.pl,case.loc,perf.gen.pres.3per.pl
[kim]lerden PRON.inter,num.pl,case.abl
[kim]lerdendi PRON.inter,num.pl,case.abl,perf.ind.past.3per.sg
[kim]lerdendir PRON.inter,num.pl,case.abl,perf.gen.pres.3per.sg
[kim]lerdendirler PRON.inter,num.pl,case.abl,perf.gen.pres.3per.pl
[kim]lerdenim PRON.inter,num.pl,case.abl,perf.ind.pres.1per.sg
[kim]lerdeniz PRON.inter,num.pl,case.abl,perf.ind.pres.1per.pl
[kim]lerdenlerdir PRON.inter,num.pl,case.abl,perf.gen.pres.3per.pl
[kim]lerdenmiş PRON.inter,num.pl,case.abl,perf.nfh.ind.past.3per.sg
[kim]lerdense PRON.inter,num.pl,case.abl,perf.cnd.pres.3per.sg
[kim]lerdensin PRON.inter,num.pl,case.abl,perf.ind.pres.2per.sg
[kim]lerdensiniz PRON.inter,num.pl,case.abl,perf.ind.pres.2per.pl
[kim]lerdesin PRON.inter,num.pl,case.loc,perf.ind.pres.2per.sg
[kim]lerdesiniz PRON.inter,num.pl,case.loc,perf.ind.pres.2per.pl
[kim]lerdeydim PRON.inter,num.pl,case.loc,perf.ind.past.1per.sg
[kim]lerdeydin PRON.inter,num.pl,case.loc,perf.ind.past.2per.sg
[kim]lerdeydi PRON.inter,num.pl,case.loc,perf.ind.past.3per.sg
[kim]lerdeydik PRON.inter,num.pl,case.loc,perf.ind.past.1per.pl
[kim]lerdeydiniz PRON.inter,num.pl,case.loc,perf.ind.past.2per.pl
[kim]lerdeydiler PRON.inter,num.pl,case.loc,perf.ind.past.3per.pl
[kim]lerdelerdi PRON.inter,num.pl,case.loc,perf.ind.past.3per.pl
[kim]lerdeyim PRON.inter,num.pl,case.loc,perf.ind.pres.1per.sg
[kim]lerdeyiz PRON.inter,num.pl,case.loc,perf.ind.pres.1per.pl
[kim]lerdeyken PRON.inter,num.pl,case.loc,converb
[kim]lerdeymiş PRON.inter,num.pl,case.loc,perf.nfh.ind.past.3per.sg
[kim]lerdeysem PRON.inter,num.pl,case.loc,perf.cnd.pres.1per.sg
[kim]lerdeysen PRON.inter,num.pl,case.loc,perf.cnd.pres.2per.sg
[kim]lerdeyse PRON.inter,num.pl,case.loc,perf.cnd.pres.3per.sg
[kim]lerdeysek PRON.inter,num.pl,case.loc,perf.cnd.pres.1per.pl
[kim]lerdeyseniz PRON.inter,num.pl,case.loc,perf.cnd.pres.2per.pl
[kim]lerdeyseler PRON.inter,num.pl,case.loc,perf.cnd.pres.3per.pl
[kim]lerdelerse PRON.inter,num.pl,case.loc,perf.cnd.pres.3per.pl
[kim]lerdi PRON.inter,num.pl,case.nom,perf.ind.past.3per.sg
[kim]lerdi PRON.inter,num.pl,case.nom,perf.ind.past.3per.pl
[kim]lerdik PRON.inter,num.pl,case.nom,perf.ind.past.1per.pl
[kim]lerdiniz PRON.inter,num.pl,case.nom,perf.ind.past.2per.pl
[kim]lerdir PRON.inter,num.pl,case.nom,perf.gen.pres.3per.sg
[kim]lerdir PRON.inter,num.sg,case.nom,perf.gen.pres.3per.pl
[kim]lerdirler PRON.inter,num.pl,case.nom,perf.gen.pres.3per.pl
[kim]lere PRON.inter,num.pl,case.dat
[kim]leredir PRON.inter,num.pl,case.dat,perf.gen.pres.3per.sg
[kim]leredirler PRON.inter,num.pl,case.dat,perf.gen.pres.3per.pl
[kim]lerelerdir PRON.inter,num.pl,case.dat,perf.gen.pres.3per.pl
[kim]leresin PRON.inter,num.pl,case.dat,perf.ind.pres.2per.sg
[kim]leresiniz PRON.inter,num.pl,case.dat,perf.ind.pres.2per.pl
[kim]lereydi PRON.inter,num.pl,case.dat,perf.ind.past.3per.sg
[kim]lereyim PRON.inter,num.pl,case.dat,perf.ind.pres.1per.sg
[kim]lereyiz PRON.inter,num.pl,case.dat,perf.ind.pres.1per.pl
[kim]lereymiş PRON.inter,num.pl,case.dat,perf.nfh.ind.past.3per.sg
[kim]lereyse PRON.inter,num.pl,case.dat,perf.cnd.pres.3per.sg
[kim]leri PRON.inter,num.pl,case.acc
[kim]leri PRON.inter,num.pl,poss.3p.pl
[kim]leri PRON.inter,num.pl,poss.3p.sg
[kim]leri PRON.inter,num.sg,poss.3p.pl
[kim]lerimdir PRON.inter,num.pl,case.acc,perf.gen.pres.1per.sg
[kim]lerisindir PRON.inter,num.pl,case.acc,perf.gen.pres.2per.sg
[kim]leridir PRON.inter,num.pl,case.acc,perf.gen.pres.3per.sg
[kim]leriyizdir PRON.inter,num.pl,case.acc,perf.gen.pres.1per.pl
[kim]lerisinizdir PRON.inter,num.pl,case.acc,perf.gen.pres.2per.pl
[kim]leridirler PRON.inter,num.pl,case.acc,perf.gen.pres.3per.pl
[kim]lerilerdir PRON.inter,num.pl,case.acc,perf.gen.pres.3per.pl
[kim]leriydim PRON.inter,num.pl,case.acc,perf.ind.past.1per.sg
[kim]leriydin PRON.inter,num.pl,case.acc,perf.ind.past.2per.sg
[kim]leriydi PRON.inter,num.pl,case.acc,perf.ind.past.3per.sg
[kim]leriydik PRON.inter,num.pl,case.acc,perf.ind.past.1per.pl
[kim]leriydiniz PRON.inter,num.pl,case.acc,perf.ind.past.2per.pl
[kim]leriydi PRON.inter,num.pl,case.acc,perf.ind.past.3per.pl
[kim]leriydiler PRON.inter,num.pl,case.acc,perf.ind.past.3per.pl
[kim]leriyim PRON.inter,num.pl,case.acc,perf.ind.pres.1per.sg
[kim]leriyiz PRON.inter,num.pl,case.acc,perf.ind.pres.1per.pl
[kim]lerisin PRON.inter,num.pl,case.acc,perf.ind.pres.2per.sg
[kim]lerisiniz PRON.inter,num.pl,case.acc,perf.ind.pres.2per.pl
[kim]leriymişim PRON.inter,num.pl,case.acc,perf.nfh.ind.past.1per.sg
[kim]leriymişsin PRON.inter,num.pl,case.acc,perf.nfh.ind.past.2per.sg
[kim]leriymiş PRON.inter,num.pl,case.acc,perf.nfh.ind.past.3per.sg
[kim]leriymiş PRON.inter,num.pl,case.acc,perf.nfh.ind.past.3per.pl
[kim]leriymişiz PRON.inter,num.pl,case.acc,perf.nfh.ind.past.1per.pl
[kim]leriymişsiniz PRON.inter,num.pl,case.acc,perf.nfh.ind.past.2per.pl
[kim]leriymişler PRON.inter,num.pl,case.acc,perf.nfh.ind.past.3per.pl
[kim]leriysem PRON.inter,num.pl,case.acc,perf.cnd.pres.1per.sg
[kim]leriysen PRON.inter,num.pl,case.acc,perf.cnd.pres.2per.sg
[kim]leriyse PRON.inter,num.pl,case.acc,perf.cnd.pres.3per.sg
[kim]leriyse PRON.inter,num.pl,case.acc,perf.cnd.pres.3per.pl
[kim]leriysek PRON.inter,num.pl,case.acc,perf.cnd.pres.1per.pl
[kim]leriyseniz PRON.inter,num.pl,case.acc,perf.cnd.pres.2per.pl
[kim]leriyseler PRON.inter,num.pl,case.acc,perf.cnd.pres.3per.pl
[kim]lerimdir PRON.inter,num.pl,poss.3p.pl,perf.gen.pres.1per.sg
[kim]lerisindir PRON.inter,num.pl,poss.3p.pl,perf.gen.pres.2per.sg
[kim]leridir PRON.inter,num.pl,poss.3p.pl,perf.gen.pres.3per.sg
[kim]leriyizdir PRON.inter,num.pl,poss.3p.pl,perf.gen.pres.1per.pl
[kim]lerisinizdir PRON.inter,num.pl,poss.3p.pl,perf.gen.pres.2per.pl
[kim]leridirler PRON.inter,num.pl,poss.3p.pl,perf.gen.pres.3per.pl
[kim]lerilerdir PRON.inter,num.pl,poss.3p.pl,perf.gen.pres.3per.pl
[kim]leriydim PRON.inter,num.pl,poss.3p.pl,perf.ind.past.1per.sg
[kim]leriydin PRON.inter,num.pl,poss.3p.pl,perf.ind.past.2per.sg
[kim]leriydi PRON.inter,num.pl,poss.3p.pl,perf.ind.past.3per.sg
[kim]leriydik PRON.inter,num.pl,poss.3p.pl,perf.ind.past.1per.pl
[kim]leriydiniz PRON.inter,num.pl,poss.3p.pl,perf.ind.past.2per.pl
[kim]leriydi PRON.inter,num.pl,poss.3p.pl,perf.ind.past.3per.pl
[kim]leriydiler PRON.inter,num.pl,poss.3p.pl,perf.ind.past.3per.pl
[kim]leriyim PRON.inter,num.pl,poss.3p.pl,perf.ind.pres.1per.sg
[kim]leriyiz PRON.inter,num.pl,poss.3p.pl,perf.ind.pres.1per.pl
[kim]lerisin PRON.inter,num.pl,poss.3p.pl,perf.ind.pres.2per.sg
[kim]lerisiniz PRON.inter,num.pl,poss.3p.pl,perf.ind.pres.2per.pl
[kim]leriymişim PRON.inter,num.pl,poss.3p.pl,perf.nfh.ind.past.1per.sg
[kim]leriymişsin PRON.inter,num.pl,poss.3p.pl,perf.nfh.ind.past.2per.sg
[kim]leriymiş PRON.inter,num.pl,poss.3p.pl,perf.nfh.ind.past.3per.sg
[kim]leriymiş PRON.inter,num.pl,poss.3p.pl,perf.nfh.ind.past.3per.pl
[kim]leriymişiz PRON.inter,num.pl,poss.3p.pl,perf.nfh.ind.past.1per.pl
[kim]leriymişsiniz PRON.inter,num.pl,poss.3p.pl,perf.nfh.ind.past.2per.pl
[kim]leriymişler PRON.inter,num.pl,poss.3p.pl,perf.nfh.ind.past.3per.pl
[kim]leriysem PRON.inter,num.pl,poss.3p.pl,perf.cnd.pres.1per.sg
[kim]leriysen PRON.inter,num.pl,poss.3p.pl,perf.cnd.pres.2per.sg
[kim]leriyse PRON.inter,num.pl,poss.3p.pl,perf.cnd.pres.3per.sg
[kim]leriyse PRON.inter,num.pl,poss.3p.pl,perf.cnd.pres.3per.pl
[kim]leriysek PRON.inter,num.pl,poss.3p.pl,perf.cnd.pres.1per.pl
[kim]leriyseniz PRON.inter,num.pl,poss.3p.pl,perf.cnd.pres.2per.pl
[kim]leriyseler PRON.inter,num.pl,poss.3p.pl,perf.cnd.pres.3per.pl
[kim]lerimdir PRON.inter,num.pl,poss.3p.sg,perf.gen.pres.1per.sg
[kim]lerisindir PRON.inter,num.pl,poss.3p.sg,perf.gen.pres.2per.sg
[kim]leridir PRON.inter,num.pl,poss.3p.sg,perf.gen.pres.3per.sg
[kim]leriyizdir PRON.inter,num.pl,poss.3p.sg,perf.gen.pres.1per.pl
[kim]lerisinizdir PRON.inter,num.pl,poss.3p.sg,perf.gen.pres.2per.pl
[kim]leridirler PRON.inter,num.pl,poss.3p.sg,perf.gen.pres.3per.pl
[kim]lerilerdir PRON.inter,num.pl,poss.3p.sg,perf.gen.pres.3per.pl
[kim]leriydim PRON.inter,num.pl,poss.3p.sg,perf.ind.past.1per.sg
[kim]leriydin PRON.inter,num.pl,poss.3p.sg,perf.ind.past.2per.sg
[kim]leriydi PRON.inter,num.pl,poss.3p.sg,perf.ind.past.3per.sg
[kim]leriydik PRON.inter,num.pl,poss.3p.sg,perf.ind.past.1per.pl
[kim]leriydiniz PRON.inter,num.pl,poss.3p.sg,perf.ind.past.2per.pl
[kim]leriydi PRON.inter,num.pl,poss.3p.sg,perf.ind.past.3per.pl
[kim]leriydiler PRON.inter,num.pl,poss.3p.sg,perf.ind.past.3per.pl
[kim]leriyim PRON.inter,num.pl,poss.3p.sg,perf.ind.pres.1per.sg
[kim]leriyiz PRON.inter,num.pl,poss.3p.sg,perf.ind.pres.1per.pl
[kim]lerisin PRON.inter,num.pl,poss.3p.sg,perf.ind.pres.2per.sg
[kim]lerisiniz PRON.inter,num.pl,poss.3p.sg,perf.ind.pres.2per.pl
[kim]leriymişim PRON.inter,num.pl,poss.3p.sg,perf.nfh.ind.past.1per.sg
[kim]leriymişsin PRON.inter,num.pl,poss.3p.sg,perf.nfh.ind.past.2per.sg
[kim]leriymiş PRON.inter,num.pl,poss.3p.sg,perf.nfh.ind.past.3per.sg
[kim]leriymiş PRON.inter,num.pl,poss.3p.sg,perf.nfh.ind.past.3per.pl
[kim]leriymişiz PRON.inter,num.pl,poss.3p.sg,perf.nfh.ind.past.1per.pl
[kim]leriymişsiniz PRON.inter,num.pl,poss.3p.sg,perf.nfh.ind.past.2per.pl
[kim]leriymişler PRON.inter,num.pl,poss.3p.sg,perf.nfh.ind.past.3per.pl
[kim]leriysem PRON.inter,num.pl,poss.3p.sg,perf.cnd.pres.1per.sg
[kim]leriysen PRON.inter,num.pl,poss.3p.sg,perf.cnd.pres.2per.sg
[kim]leriyse PRON.inter,num.pl,poss.3p.sg,perf.cnd.pres.3per.sg
[kim]leriyse PRON.inter,num.pl,poss.3p.sg,perf.cnd.pres.3per.pl
[kim]leriysek PRON.inter,num.pl,poss.3p.sg,perf.cnd.pres.1per.pl
[kim]leriyseniz PRON.inter,num.pl,poss.3p.sg,perf.cnd.pres.2per.pl
[kim]leriyseler PRON.inter,num.pl,poss.3p.sg,perf.cnd.pres.3per.pl
[kim]lerimdir PRON.inter,num.sg,poss.3p.pl,perf.gen.pres.1per.sg
[kim]lerisindir PRON.inter,num.sg,poss.3p.pl,perf.gen.pres.2per.sg
[kim]leridir PRON.inter,num.sg,poss.3p.pl,perf.gen.pres.3per.sg
[kim]leriyizdir PRON.inter,num.sg,poss.3p.pl,perf.gen.pres.1per.pl
[kim]lerisinizdir PRON.inter,num.sg,poss.3p.pl,perf.gen.pres.2per.pl
[kim]leriydim PRON.inter,num.sg,poss.3p.pl,perf.ind.past.1per.sg
[kim]leriydin PRON.inter,num.sg,poss.3p.pl,perf.ind.past.2per.sg
[kim]leriydi PRON.inter,num.sg,poss.3p.pl,perf.ind.past.3per.sg
[kim]leriydik PRON.inter,num.sg,poss.3p.pl,perf.ind.past.1per.pl
[kim]leriydiniz PRON.inter,num.sg,poss.3p.pl,perf.ind.past.2per.pl
[kim]leriydi PRON.inter,num.sg,poss.3p.pl,perf.ind.past.3per.pl
[kim]leriydiler PRON.inter,num.sg,poss.3p.pl,perf.ind.past.3per.pl
[kim]leriyim PRON.inter,num.sg,poss.3p.pl,perf.ind.pres.1per.sg
[kim]leriyiz PRON.inter,num.sg,poss.3p.pl,perf.ind.pres.1per.pl
[kim]lerisin PRON.inter,num.sg,poss.3p.pl,perf.ind.pres.2per.sg
[kim]lerisiniz PRON.inter,num.sg,poss.3p.pl,perf.ind.pres.2per.pl
[kim]leriymişim PRON.inter,num.sg,poss.3p.pl,perf.nfh.ind.past.1per.sg
[kim]leriymişsin PRON.inter,num.sg,poss.3p.pl,perf.nfh.ind.past.2per.sg
[kim]leriymiş PRON.inter,num.sg,poss.3p.pl,perf.nfh.ind.past.3per.sg
[kim]leriymiş PRON.inter,num.sg,poss.3p.pl,perf.nfh.ind.past.3per.pl
[kim]leriymişiz PRON.inter,num.sg,poss.3p.pl,perf.nfh.ind.past.1per.pl
[kim]leriymişsiniz PRON.inter,num.sg,poss.3p.pl,perf.nfh.ind.past.2per.pl
[kim]leriymişler PRON.inter,num.sg,poss.3p.pl,perf.nfh.ind.past.3per.pl
[kim]leriysem PRON.inter,num.sg,poss.3p.pl,perf.cnd.pres.1per.sg
[kim]leriysen PRON.inter,num.sg,poss.3p.pl,perf.cnd.pres.2per.sg
[kim]leriyse PRON.inter,num.sg,poss.3p.pl,perf.cnd.pres.3per.sg
[kim]leriyse PRON.inter,num.sg,poss.3p.pl,perf.cnd.pres.3per.pl
[kim]leriysek PRON.inter,num.sg,poss.3p.pl,perf.cnd.pres.1per.pl
[kim]leriyseniz PRON.inter,num.sg,poss.3p.pl,perf.cnd.pres.2per.pl
[kim]lerim PRON.inter,num.pl,case.nom,perf.ind.pres.1per.sg
[kim]lerim PRON.inter,num.pl,poss.1p.sg
[kim]lerimiz PRON.inter,num.pl,poss.1p.pl
[kim]lerin PRON.inter,num.pl,case.gen
[kim]lerin PRON.inter,num.pl,poss.2p.sg
[kim]lerindi PRON.inter,num.pl,case.gen,perf.ind.past.3per.sg
[kim]lerindir PRON.inter,num.pl,case.gen,perf.gen.pres.3per.sg
[kim]lerindirler PRON.inter,num.pl,case.gen,perf.gen.pres.3per.pl
[kim]lerinim PRON.inter,num.pl,case.gen,perf.ind.pres.1per.sg
[kim]leriniz PRON.inter,num.pl,case.gen,perf.ind.pres.1per.pl
[kim]leriniz PRON.inter,num.pl,poss.2p.pl
[kim]lerinlerdir PRON.inter,num.pl,case.gen,perf.gen.pres.3per.pl
[kim]lerinmişim PRON.inter,num.pl,case.gen,perf.nfh.ind.past.1per.sg
[kim]lerinmişsin PRON.inter,num.pl,case.gen,perf.nfh.ind.past.2per.sg
[kim]lerinmiş PRON.inter,num.pl,case.gen,perf.nfh.ind.past.3per.sg
[kim]lerinmişiz PRON.inter,num.pl,case.gen,perf.nfh.ind.past.1per.pl
[kim]lerinmişsiniz PRON.inter,num.pl,case.gen,perf.nfh.ind.past.2per.pl
[kim]lerinmişler PRON.inter,num.pl,case.gen,perf.nfh.ind.past.3per.pl
[kim]lerinlermiş PRON.inter,num.pl,case.gen,perf.nfh.ind.past.3per.pl
[kim]lerinsem PRON.inter,num.pl,case.gen,perf.cnd.pres.1per.sg
[kim]lerinsen PRON.inter,num.pl,case.gen,perf.cnd.pres.2per.sg
[kim]lerinse PRON.inter,num.pl,case.gen,perf.cnd.pres.3per.sg
[kim]lerinsek PRON.inter,num.pl,case.gen,perf.cnd.pres.1per.pl
[kim]lerinseniz PRON.inter,num.pl,case.gen,perf.cnd.pres.2per.pl
[kim]lerinseler PRON.inter,num.pl,case.gen,perf.cnd.pres.3per.pl
[kim]lerinlerse PRON.inter,num.pl,case.gen,perf.cnd.pres.3per.pl
[kim]lerinsin PRON.inter,num.pl,case.gen,perf.ind.pres.2per.sg
[kim]lerinsiniz PRON.inter,num.pl,case.gen,perf.ind.pres.2per.pl
[kim]leriz PRON.inter,num.pl,case.nom,perf.ind.pres.1per.pl
[kim]lerle PRON.inter,num.pl,case.instr
[kim]lerledir PRON.inter,num.pl,case.instr,perf.gen.pres.3per.sg
[kim]lerledirler PRON.inter,num.pl,case.instr,perf.gen.pres.3per.pl
[kim]lerlelerdir PRON.inter,num.pl,case.instr,perf.gen.pres.3per.pl
[kim]lerlerdir PRON.inter,num.pl,case.nom,perf.gen.pres.3per.pl
[kim]lerlesin PRON.inter,num.pl,case.instr,perf.ind.pres.2per.sg
[kim]lerlesiniz PRON.inter,num.pl,case.instr,perf.ind.pres.2per.pl
[kim]lerleydim PRON.inter,num.pl,case.instr,perf.ind.past.1per.sg
[kim]lerleydin PRON.inter,num.pl,case.instr,perf.ind.past.2per.sg
[kim]lerleydi PRON.inter,num.pl,case.instr,perf.ind.past.3per.sg
[kim]lerleydik PRON.inter,num.pl,case.instr,perf.ind.past.1per.pl
[kim]lerleydiniz PRON.inter,num.pl,case.instr,perf.ind.past.2per.pl
[kim]lerleydiler PRON.inter,num.pl,case.instr,perf.ind.past.3per.pl
[kim]lerlelerdi PRON.inter,num.pl,case.instr,perf.ind.past.3per.pl
[kim]lerleyim PRON.inter,num.pl,case.instr,perf.ind.pres.1per.sg
[kim]lerleyiz PRON.inter,num.pl,case.instr,perf.ind.pres.1per.pl
[kim]lerleyken PRON.inter,num.pl,case.instr,converb
[kim]lerleymiş PRON.inter,num.pl,case.instr,perf.nfh.ind.past.3per.sg
[kim]lerleyse PRON.inter,num.pl,case.instr,perf.cnd.pres.3per.sg
[kim]lermiş PRON.inter,num.pl,case.nom,perf.nfh.ind.past.3per.sg
[kim]lerse PRON.inter,num.pl,case.nom,perf.cnd.pres.3per.sg
[kim]lersin PRON.inter,num.pl,case.nom,perf.ind.pres.2per.sg
[kim]lersiniz PRON.inter,num.pl,case.nom,perf.ind.pres.2per.pl
[kim]lesin PRON.inter,num.sg,case.instr,perf.ind.pres.2per.sg
[kim]lesiniz PRON.inter,num.sg,case.instr,perf.ind.pres.2per.pl
[kim]leydim PRON.inter,num.sg,case.instr,perf.ind.past.1per.sg
[kim]leydin PRON.inter,num.sg,case.instr,perf.ind.past.2per.sg
[kim]leydi PRON.inter,num.sg,case.instr,perf.ind.past.3per.sg
[kim]leydik PRON.inter,num.sg,case.instr,perf.ind.past.1per.pl
[kim]leydiniz PRON.inter,num.sg,case.instr,perf.ind.past.2per.pl
[kim]leydiler PRON.inter,num.sg,case.instr,perf.ind.past.3per.pl
[kim]lelerdi PRON.inter,num.sg,case.instr,perf.ind.past.3per.pl
[kim]leyim PRON.inter,num.sg,case.instr,perf.ind.pres.1per.sg
[kim]leyiz PRON.inter,num.sg,case.instr,perf.ind.pres.1per.pl
[kim]leyken PRON.inter,num.sg,case.instr,converb
[kim]leymiş PRON.inter,num.sg,case.instr,perf.nfh.ind.past.3per.sg
[kim]leysem PRON.inter,num.sg,case.instr,perf.cnd.pres.1per.sg
[kim]leysen PRON.inter,num.sg,case.instr,perf.cnd.pres.2per.sg
[kim]leyse PRON.inter,num.sg,case.instr,perf.cnd.pres.3per.sg
[kim]leysek PRON.inter,num.sg,case.instr,perf.cnd.pres.1per.pl
[kim]leyseniz PRON.inter,num.sg,case.instr,perf.cnd.pres.2per.pl
[kim]leyseler PRON.inter,num.sg,case.instr,perf.cnd.pres.3per.pl
[kim]lelerse PRON.inter,num.sg,case.instr,perf.cnd.pres.3per.pl
[kim]sem PRON.inter,num.sg,perf.cnd.pres.1per.sg
[kim]sen PRON.inter,num.sg,perf.cnd.pres.2per.sg
[kim]se PRON.inter,num.sg,perf.cnd.pres.3per.sg
[kim]sek PRON.inter,num.sg,perf.cnd.pres.1per.pl
[kim]seniz PRON.inter,num.sg,perf.cnd.pres.2per.pl
[kim]seler PRON.inter,num.sg,perf.cnd.pres.3per.pl
[kim]lerse PRON.inter,num.sg,perf.cnd.pres.3per.pl
ne
[ne] PRON.inter,num.sg,case.nom
[ne]de PRON.inter,num.sg,case.loc
[ne]dedir PRON.inter,num.sg,case.loc,perf.gen.pres.3per.sg
[ne]dedirler PRON.inter,num.sg,case.loc,perf.gen.pres.3per.pl
[ne]delerdir PRON.inter,num.sg,case.loc,perf.gen.pres.3per.pl
[ne]den PRON.inter,num.sg,case.abl
[ne]dendi PRON.inter,num.sg,case.abl,perf.ind.past.3per.sg
[ne]dendir PRON.inter,num.sg,case.abl,perf.gen.pres.3per.sg
[ne]dendirler PRON.inter,num.sg,case.abl,perf.gen.pres.3per.pl
[ne]denim PRON.inter,num.sg,case.abl,perf.ind.pres.1per.sg
[ne]deniz PRON.inter,num.sg,case.abl,perf.ind.pres.1per.pl
[ne]denlerdir PRON.inter,num.sg,case.abl,perf.gen.pres.3per.pl
[ne]denmiş PRON.inter,num.sg,case.abl,perf.nfh.ind.past.3per.sg
[ne]dense PRON.inter,num.sg,case.abl,perf.cnd.pres.3per.sg
[ne]densin PRON.inter,num.sg,case.abl,perf.ind.pres.2per.sg
[ne]densiniz PRON.inter,num.sg,case.abl,perf.ind.pres.2per.pl
[ne]desin PRON.inter,num.sg,case.loc,perf.ind.pres.2per.sg
[ne]desiniz PRON.inter,num.sg,case.loc,perf.ind.pres.2per.pl
[ne]deydi PRON.inter,num.sg,case.loc,perf.ind.past.3per.sg
[ne]deyim PRON.inter,num.sg,case.loc,perf.ind.pres.1per.sg
