ben
[bana] PRON.personal.1p.sg,case.dat
[ben]leysem PRON.personal.1p.sg,case.instr,perf.cnd.pres.1per.sg
[ben]leysen PRON.personal.1p.sg,case.instr,perf.cnd.pres.2per.sg
[ben]leyse PRON.personal.1p.sg,case.instr,perf.cnd.pres.3per.sg
[ben]leysek PRON.personal.1p.sg,case.instr,perf.cnd.pres.1per.pl
[ben]leyseniz PRON.personal.1p.sg,case.instr,perf.cnd.pres.2per.pl
[ben]leyseler PRON.personal.1p.sg,case.instr,perf.cnd.pres.3per.pl
[ben]leyim PRON.personal.1p.sg,case.instr,perf.ind.pres.1per.sg
[ben]lesin PRON.personal.1p.sg,case.instr,perf.ind.pres.2per.sg
[ben]leyiz PRON.personal.1p.sg,case.instr,perf.ind.pres.1per.pl
[ben]lesiniz PRON.personal.1p.sg,case.instr,perf.ind.pres.2per.pl
[ben]leler PRON.personal.1p.sg,case.instr,perf.ind.pres.3per.pl
[ben]leydim PRON.personal.1p.sg,case.instr,perf.ind.past.1per.sg
[ben]leydin PRON.personal.1p.sg,case.instr,perf.ind.past.2per.sg
[ben]leydi PRON.personal.1p.sg,case.instr,perf.ind.past.3per.sg
[ben]leydik PRON.personal.1p.sg,case.instr,perf.ind.past.1per.pl
[ben]leydiniz PRON.personal.1p.sg,case.instr,perf.ind.past.2per.pl
[ben]leydiler PRON.personal.1p.sg,case.instr,perf.ind.past.3per.pl
[ben]lelerdi PRON.personal.1p.sg,case.instr,perf.ind.past.3per.pl
[ben]leymişim PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.1per.sg
[ben]leymişsin PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.2per.sg
[ben]leymiş PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.3per.sg
[ben]leymişiz PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.1per.pl
[ben]leymişsiniz PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.2per.pl
[ben]leymişler PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.3per.pl
[ben]leyimdir PRON.personal.1p.sg,case.instr,perf.gen.pres.1per.sg
[ben]lesindir PRON.personal.1p.sg,case.instr,perf.gen.pres.2per.sg
[ben]ledir PRON.personal.1p.sg,case.instr,perf.gen.pres.3per.sg
[ben]leyizdir PRON.personal.1p.sg,case.instr,perf.gen.pres.1per.pl
[ben]lesinizdir PRON.personal.1p.sg,case.instr,perf.gen.pres.2per.pl
[ben]ledirler PRON.personal.1p.sg,case.instr,perf.gen.pres.3per.pl
[ben]lelerdir PRON.personal.1p.sg,case.instr,perf.gen.pres.3per.pl
[ben] PRON.personal.1p.sg,case.nom
[ben]ken PRON.personal.1p.sg,case.nom,converb
[ben]kenki PRON.personal.1p.sg,case.nom,converb,<ki>
[ben]imdir PRON.personal.1p.sg,case.nom,perf.gen.pres.1per.sg
[ben]sindir PRON.personal.1p.sg,case.nom,perf.gen.pres.2per.sg
[ben]dir PRON.personal.1p.sg,case.nom,perf.gen.pres.3per.sg
[ben]izdir PRON.personal.1p.sg,case.nom,perf.gen.pres.1per.pl
[ben]sinizdir PRON.personal.1p.sg,case.nom,perf.gen.pres.2per.pl
[ben]dirler PRON.personal.1p.sg,case.nom,perf.gen.pres.3per.pl
[ben]lerdir PRON.personal.1p.sg,case.nom,perf.gen.pres.3per.pl
[ben]im PRON.personal.1p.sg,case.nom,perf.ind.pres.1per.sg
[ben]sin PRON.personal.1p.sg,case.nom,perf.ind.pres.2per.sg
[ben]iz PRON.personal.1p.sg,case.nom,perf.ind.pres.1per.pl
[ben]siniz PRON.personal.1p.sg,case.nom,perf.ind.pres.2per.pl
[ben]ler PRON.personal.1p.sg,case.nom,perf.ind.pres.3per.pl
[ben]sem PRON.personal.1p.sg,case.nom,perf.cnd.pres.1per.sg
[ben]sen PRON.personal.1p.sg,case.nom,perf.cnd.pres.2per.sg
[ben]se PRON.personal.1p.sg,case.nom,perf.cnd.pres.3per.sg
[ben]sek PRON.personal.1p.sg,case.nom,perf.cnd.pres.1per.pl
[ben]seniz PRON.personal.1p.sg,case.nom,perf.cnd.pres.2per.pl
[ben]seler PRON.personal.1p.sg,case.nom,perf.cnd.pres.3per.pl
[ben]dim PRON.personal.1p.sg,case.nom,perf.ind.past.1per.sg
[ben]din PRON.personal.1p.sg,case.nom,perf.ind.past.2per.sg
[ben]di PRON.personal.1p.sg,case.nom,perf.ind.past.3per.sg
[ben]dik PRON.personal.1p.sg,case.nom,perf.ind.past.1per.pl
[ben]diniz PRON.personal.1p.sg,case.nom,perf.ind.past.2per.pl
[ben]lerdi PRON.personal.1p.sg,case.nom,perf.ind.past.3per.pl
[ben]diler PRON.personal.1p.sg,case.nom,perf.ind.past.3per.pl
[ben]mişim PRON.personal.1p.sg,case.nom,perf.nfh.ind.past.1per.sg
[ben]mişsin PRON.personal.1p.sg,case.nom,perf.nfh.ind.past.2per.sg
[ben]miş PRON.personal.1p.sg,case.nom,perf.nfh.ind.past.3per.sg
[ben]mişiz PRON.personal.1p.sg,case.nom,perf.nfh.ind.past.1per.pl
[ben]mişsiniz PRON.personal.1p.sg,case.nom,perf.nfh.ind.past.2per.pl
[ben]mişler PRON.personal.1p.sg,case.nom,perf.nfh.ind.past.3per.pl
[ben]lermiş PRON.personal.1p.sg,case.nom,perf.nfh.ind.past.3per.pl
[ben]im PRON.personal.1p.sg,case.gen
[ben]imken PRON.personal.1p.sg,case.gen,converb
[ben]imkenki PRON.personal.1p.sg,case.gen,converb,<ki>
[ben]imdi PRON.personal.1p.sg,case.gen,perf.ind.past.3per.sg
[ben]imdik PRON.personal.1p.sg,case.gen,perf.ind.past.1per.pl
[ben]imdiler PRON.personal.1p.sg,case.gen,perf.ind.past.3per.pl
[ben]imdim PRON.personal.1p.sg,case.gen,perf.ind.past.1per.sg
[ben]imdin PRON.personal.1p.sg,case.gen,perf.ind.past.2per.sg
[ben]imdiniz PRON.personal.1p.sg,case.gen,perf.ind.past.2per.pl
[ben]imimdir PRON.personal.1p.sg,case.gen,perf.gen.pres.1per.sg
[ben]imsindir PRON.personal.1p.sg,case.gen,perf.gen.pres.2per.sg
[ben]imdir PRON.personal.1p.sg,case.gen,perf.gen.pres.3per.sg
[ben]imizdir PRON.personal.1p.sg,case.gen,perf.gen.pres.1per.pl
[ben]imsinizdir PRON.personal.1p.sg,case.gen,perf.gen.pres.2per.pl
[ben]imdirler PRON.personal.1p.sg,case.gen,perf.gen.pres.3per.pl
[ben]imlerdir PRON.personal.1p.sg,case.gen,perf.gen.pres.3per.pl
[ben]imim PRON.personal.1p.sg,case.gen,perf.ind.pres.1per.sg
[ben]imsin PRON.personal.1p.sg,case.gen,perf.ind.pres.2per.sg
[ben]imler PRON.personal.1p.sg,case.gen,perf.ind.pres.3per.pl
[ben]imiz PRON.personal.1p.sg,case.gen,perf.ind.pres.1per.pl
[ben]imsiniz PRON.personal.1p.sg,case.gen,perf.ind.pres.2per.pl
[ben]imler PRON.personal.1p.sg,case.gen,perf.ind.pres.3per.pl
[ben]imse PRON.personal.1p.sg,case.gen,perf.cnd.pres.3per.sg
[ben]imsek PRON.personal.1p.sg,case.gen,perf.cnd.pres.1per.pl
[ben]imseler PRON.personal.1p.sg,case.gen,perf.cnd.pres.3per.pl
[ben]imsem PRON.personal.1p.sg,case.gen,perf.cnd.pres.1per.sg
[ben]imsen PRON.personal.1p.sg,case.gen,perf.cnd.pres.2per.sg
[ben]imseniz PRON.personal.1p.sg,case.gen,perf.cnd.pres.2per.pl
[ben]immişim PRON.personal.1p.sg,case.gen,perf.nfh.ind.past.1per.sg
[ben]immişsin PRON.personal.1p.sg,case.gen,perf.nfh.ind.past.2per.sg
[ben]immiş PRON.personal.1p.sg,case.gen,perf.nfh.ind.past.3per.sg
[ben]immişiz PRON.personal.1p.sg,case.gen,perf.nfh.ind.past.1per.pl
[ben]immişsiniz PRON.personal.1p.sg,case.gen,perf.nfh.ind.past.2per.pl
[ben]immişler PRON.personal.1p.sg,case.gen,perf.nfh.ind.past.3per.pl
[ben]imlermiş PRON.personal.1p.sg,case.gen,perf.nfh.ind.past.3per.pl
[ben]imlermiş PRON.personal.1p.sg,case.gen,perf.nfh.ind.past.3per.pl
[ben]imlerdi PRON.personal.1p.sg,case.gen,perf.ind.past.3per.pl
[ben]imlerdir PRON.personal.1p.sg,case.gen,perf.gen.pres.3per.sg
[ben]imlerse PRON.personal.1p.sg,case.gen,perf.ind.pres.3per.pl
[ben]imlerken PRON.personal.1p.sg,case.gen,perf.ind.pres.3per.pl,converb
[ben]deki PRON.personal.1p.sg,case.loc,<ki>
[ben]dekiyken PRON.personal.1p.sg,case.loc,<ki>,converb
[ben]dekini PRON.personal.1p.sg,case.loc,<ki>,case.acc
[ben]dekinin PRON.personal.1p.sg,case.loc,<ki>,case.gen
[ben]dekine PRON.personal.1p.sg,case.loc,<ki>,case.dat
[ben]dekinde PRON.personal.1p.sg,case.loc,<ki>,case.loc
[ben]dekinden PRON.personal.1p.sg,case.loc,<ki>,case.abl
[ben]dekiyle PRON.personal.1p.sg,case.loc,<ki>,case.instr
[ben]dekiler PRON.personal.1p.sg,case.loc,<ki>,num.pl
[ben]dekileri PRON.personal.1p.sg,case.loc,<ki>,num.pl,case.acc
[ben]dekilere PRON.personal.1p.sg,case.loc,<ki>,num.pl,case.dat
[ben]dekilerin PRON.personal.1p.sg,case.loc,<ki>,num.pl,case.gen
[ben]dekilerinki PRON.personal.1p.sg,case.loc,<ki>,num.pl,case.gen,<ki>
[ben]dekilerde PRON.personal.1p.sg,case.loc,<ki>,num.pl,case.loc
[ben]dekilerden PRON.personal.1p.sg,case.loc,<ki>,num.pl,case.abl
[ben]dekilerle PRON.personal.1p.sg,case.loc,<ki>,num.pl,case.instr
[ben]imki PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.nom
[ben]imkinde PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.loc
[ben]imkinden PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.abl
[ben]imkine PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.dat
[ben]imkini PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.acc
[ben]imkinin PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.gen
[ben]imkininki PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.gen,<ki>
[ben]imkiyle PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.instr
[ben]imkiyleyken PRON.personal.1p.sg,case.gen,<ki>,num.sg,case.instr,converb
[ben]imkiyken PRON.personal.1p.sg,case.gen,<ki>,converb
[ben]imkiysem PRON.personal.1p.sg,case.gen,<ki>,perf.cnd.pres.1per.sg
[ben]imkiysen PRON.personal.1p.sg,case.gen,<ki>,perf.cnd.pres.2per.sg
[ben]imkiyse PRON.personal.1p.sg,case.gen,<ki>,perf.cnd.pres.3per.sg
[ben]imkiysek PRON.personal.1p.sg,case.gen,<ki>,perf.cnd.pres.1per.pl
[ben]imkiyseniz PRON.personal.1p.sg,case.gen,<ki>,perf.cnd.pres.2per.pl
[ben]imkiyseler PRON.personal.1p.sg,case.gen,<ki>,perf.cnd.pres.3per.pl
[ben]imkiler PRON.personal.1p.sg,case.gen,<ki>,num.pl,case.nom
[ben]imkiler PRON.personal.1p.sg,case.gen,<ki>,perf.ind.pres.3per.pl
[ben]imkilersem PRON.personal.1p.sg,case.gen,<ki>,num.pl,perf.cnd.pres.1per.sg
[ben]imkilersen PRON.personal.1p.sg,case.gen,<ki>,num.pl,perf.cnd.pres.2per.sg
[ben]imkilerse PRON.personal.1p.sg,case.gen,<ki>,num.pl,perf.cnd.pres.3per.sg
[ben]imkilersek PRON.personal.1p.sg,case.gen,<ki>,num.pl,perf.cnd.pres.1per.pl
[ben]imkilerseniz PRON.personal.1p.sg,case.gen,<ki>,num.pl,perf.cnd.pres.2per.pl
[ben]imkilerseler PRON.personal.1p.sg,case.gen,<ki>,num.pl,perf.cnd.pres.3per.pl
[ben]imkilerde PRON.personal.1p.sg,case.gen,<ki>,num.pl,case.loc
[ben]imkilerden PRON.personal.1p.sg,case.gen,<ki>,num.pl,case.abl
[ben]imkilere PRON.personal.1p.sg,case.gen,<ki>,num.pl,case.dat
[ben]imkileri PRON.personal.1p.sg,case.gen,<ki>,num.pl,case.acc
[ben]imkilerin PRON.personal.1p.sg,case.gen,<ki>,num.pl,case.gen
[ben]imkilerinki PRON.personal.1p.sg,case.gen,<ki>,num.pl,case.gen,<ki>
[ben]imkilerle PRON.personal.1p.sg,case.gen,<ki>,num.pl,case.instr
[ben]imle PRON.personal.1p.sg,case.instr
[ben]imleyken PRON.personal.1p.sg,case.instr,converb
[ben]imleykenki PRON.personal.1p.sg,case.instr,converb,<ki>
[ben]imleyim PRON.personal.1p.sg,case.instr,perf.ind.pres.1per.sg
[ben]imlesin PRON.personal.1p.sg,case.instr,perf.ind.pres.2per.sg
[ben]imleyiz PRON.personal.1p.sg,case.instr,perf.ind.pres.1per.pl
[ben]imlesiniz PRON.personal.1p.sg,case.instr,perf.ind.pres.2per.pl
[ben]imleler PRON.personal.1p.sg,case.instr,perf.ind.pres.3per.pl
[ben]imlelerken PRON.personal.1p.sg,case.instr,perf.ind.pres.3per.pl,converb
[ben]imleyimdir PRON.personal.1p.sg,case.instr,perf.gen.pres.1per.sg
[ben]imlesindir PRON.personal.1p.sg,case.instr,perf.gen.pres.2per.sg
[ben]imledir PRON.personal.1p.sg,case.instr,perf.gen.pres.3per.sg
[ben]imleyizdir PRON.personal.1p.sg,case.instr,perf.gen.pres.1per.pl
[ben]imlesinizdir PRON.personal.1p.sg,case.instr,perf.gen.pres.2per.pl
[ben]imlelerdir PRON.personal.1p.sg,case.instr,perf.gen.pres.3per.pl
[ben]imledirler PRON.personal.1p.sg,case.instr,perf.gen.pres.3per.pl
[ben]imleysem PRON.personal.1p.sg,case.instr,perf.cnd.pres.1per.sg
[ben]imleysen PRON.personal.1p.sg,case.instr,perf.cnd.pres.2per.sg
[ben]imleyse PRON.personal.1p.sg,case.instr,perf.cnd.pres.3per.sg
[ben]imleysek PRON.personal.1p.sg,case.instr,perf.cnd.pres.1per.pl
[ben]imleyseniz PRON.personal.1p.sg,case.instr,perf.cnd.pres.2per.pl
[ben]imlelerse PRON.personal.1p.sg,case.instr,perf.cnd.pres.3per.pl
[ben]imleyseler PRON.personal.1p.sg,case.instr,perf.cnd.pres.3per.pl
[ben]imleydim PRON.personal.1p.sg,case.instr,perf.ind.past.1per.sg
[ben]imleydin PRON.personal.1p.sg,case.instr,perf.ind.past.2per.sg
[ben]imleydi PRON.personal.1p.sg,case.instr,perf.ind.past.3per.sg
[ben]imleydik PRON.personal.1p.sg,case.instr,perf.ind.past.1per.pl
[ben]imleydiniz PRON.personal.1p.sg,case.instr,perf.ind.past.2per.pl
[ben]imleydiler PRON.personal.1p.sg,case.instr,perf.ind.past.3per.pl
[ben]imlelerdi PRON.personal.1p.sg,case.instr,perf.ind.past.3per.pl
[ben]imleymişim PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.1per.sg
[ben]imleymişsin PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.2per.sg
[ben]imleymiş PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.3per.sg
[ben]imleymişiz PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.1per.pl
[ben]imleymişsiniz PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.2per.pl
[ben]imleymişler PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.3per.pl
[ben]imlelermiş PRON.personal.1p.sg,case.instr,perf.nfh.ind.past.3per.pl
[ben]dekiyken PRON.personal.1p.sg,case.loc,<ki>,converb
[ben]dekiykenki PRON.personal.1p.sg,case.loc,<ki>,converb,<ki>
[ben]dekiyimdir PRON.personal.1p.sg,case.loc,<ki>,perf.gen.pres.1per.sg
[ben]dekisindir PRON.personal.1p.sg,case.loc,<ki>,perf.gen.pres.2per.sg
[ben]dekidir PRON.personal.1p.sg,case.loc,<ki>,perf.gen.pres.3per.sg
